PolicyID,Province,PostalCode,ZipCode,Gender,Age,VehicleType,VehicleMake,VehicleYear,CoverType,TotalPremium,TotalClaims,CustomValueEstimate,TransactionMonth,TransactionDate,LossRatio,HasClaim,VehicleAge,ClaimFrequency
POL1000000,Quebec,U1A,46048,Female,46.0,Sedan,Ford,2016,Basic,733.74,0.0,3121.34,2022-11,2022-11-05,0.0,0,7,0
POL1000001,Alberta,H3E,23434,Female,38.3,Sedan,Mazda,2014,Premium,877.52,1926.78,2408.48,2023-05,2023-05-26,2.1957106390737535,1,9,1
POL1000002,Quebec,V8C,87397,Male,34.9,Coupe,Ford,2021,Premium,1186.29,0.0,11460.12,2022-01,2022-01-21,0.0,0,2,0
POL1000003,Ontario,N0A,22280,Male,31.1,Van,Honda,2019,Basic,779.73,0.0,8589.55,2023-03,2023-03-31,0.0,0,4,0
POL1000004,Quebec,G3Q,88907,Male,53.6,Sedan,Chevrolet,2011,Basic,621.76,2464.99,3081.24,2022-06,2022-06-11,3.9645361554297476,1,12,1
POL1000005,Saskatchewan,A8G,95181,Male,44.5,Hatchback,Nissan,2016,Premium,841.68,0.0,3413.44,2022-02,2022-02-22,0.0,0,7,0
POL1000006,Ontario,W8N,38893,Female,45.5,Sedan,Toyota,2018,Deluxe,1383.9,3517.94,4397.43,2023-01,2023-01-27,2.542047835826288,1,5,1
POL1000007,Alberta,O9I,10851,Female,41.0,Sedan,Audi,2019,Basic,769.6,0.0,8394.55,2022-02,2022-02-17,0.0,0,4,0
POL1000008,Quebec,Y2W,65392,Female,57.6,Sedan,Ford,2010,Basic,760.76,0.0,3418.7,2023-05,2023-05-18,0.0,0,13,0
POL1000009,Quebec,K4E,38221,Female,26.5,SUV,Volkswagen,2019,Basic,620.0,0.0,11583.05,2022-04,2022-04-06,0.0,0,4,0
POL1000010,Quebec,Y5D,22156,Female,30.6,Sedan,Audi,2020,Premium,921.75,0.0,11547.16,2022-01,2022-01-28,0.0,0,3,0
POL1000011,Quebec,M1L,55082,Male,45.1,Truck,Volkswagen,2016,Deluxe,1272.86,0.0,3165.08,2022-09,2022-09-16,0.0,0,7,0
POL1000012,Ontario,T4Z,15695,Male,40.1,Sedan,Mazda,2017,Deluxe,1275.72,0.0,3022.55,2022-04,2022-04-23,0.0,0,6,0
POL1000013,Ontario,X7R,26361,Male,37.2,Sedan,Audi,2011,Premium,907.35,0.0,3597.29,2022-01,2022-01-02,0.0,0,12,0
POL1000014,Manitoba,M1R,48427,Male,32.1,Sedan,Honda,2014,Basic,756.68,0.0,2690.47,2022-07,2022-07-22,0.0,0,9,0
POL1000015,Ontario,U9L,85674,Male,40.0,Coupe,BMW,2013,Deluxe,1712.42,0.0,3379.72,2022-07,2022-07-20,0.0,0,10,0
POL1000016,Quebec,G1B,96673,Male,28.1,Hatchback,Ford,2019,Premium,744.54,0.0,8464.55,2022-12,2022-12-04,0.0,0,4,0
POL1000017,British Columbia,H4C,40512,Female,33.2,Hatchback,Honda,2016,Premium,901.47,0.0,2674.26,2022-01,2022-01-02,0.0,0,7,0
POL1000018,Ontario,D6I,69429,Male,52.0,Hatchback,Ford,2013,Deluxe,1450.16,528.88,3170.44,2023-02,2023-02-26,0.36470458432173,1,10,1
POL1000019,Quebec,U5F,58520,Female,41.8,SUV,Hyundai,2012,Deluxe,1045.12,0.0,3458.05,2022-06,2022-06-12,0.0,0,11,0
POL1000020,Ontario,L3V,44993,Female,25.7,Sedan,Chevrolet,2017,Premium,1094.1,0.0,3189.14,2023-04,2023-04-05,0.0,0,6,0
POL1000021,British Columbia,W1T,93227,Female,47.9,Sedan,Mercedes,2015,Basic,814.4,0.0,3157.37,2022-10,2022-10-11,0.0,0,8,0
POL1000022,Quebec,F8X,42087,Male,50.2,SUV,Toyota,2010,Deluxe,1243.27,0.0,3419.34,2022-02,2022-02-06,0.0,0,13,0
POL1000023,Quebec,F7M,45382,Female,44.7,Convertible,Ford,2021,Deluxe,1336.29,0.0,13356.55,2022-09,2022-09-13,0.0,0,2,0
POL1000024,Alberta,U8H,99733,Male,18.0,Van,Nissan,2011,Premium,1823.45,0.0,2568.1,2023-01,2023-01-21,0.0,0,12,0
POL1000025,Alberta,K0H,14207,Male,36.8,Sedan,Mercedes,2016,Basic,830.67,0.0,3372.14,2023-06,2023-06-09,0.0,0,7,0
POL1000026,Quebec,Z5M,45093,Male,25.8,Sedan,Ford,2016,Basic,726.21,0.0,2926.17,2022-02,2022-02-20,0.0,0,7,0
POL1000027,Quebec,C3S,51245,Male,45.9,Sedan,Volkswagen,2019,Basic,573.72,0.0,9032.32,2023-03,2023-03-20,0.0,0,4,0
POL1000028,Nova Scotia,G7M,94259,Male,51.6,SUV,Mercedes,2022,Basic,709.59,427.27,22945.85,2023-01,2023-01-05,0.60213644498936,1,1,1
POL1000029,Ontario,O2I,28301,Female,33.9,Coupe,Ford,2021,Premium,1123.63,1677.5,12232.27,2022-02,2022-02-27,1.4929291670745706,1,2,1
POL1000030,Ontario,H8R,44438,Male,38.6,Sedan,BMW,2010,Deluxe,1503.43,0.0,3065.22,2022-09,2022-09-04,0.0,0,13,0
POL1000031,Quebec,X9N,86484,Male,50.0,Sedan,Mercedes,2018,Basic,589.05,0.0,4188.31,2023-03,2023-03-29,0.0,0,5,0
POL1000032,Quebec,M5H,28131,Female,28.9,Sedan,BMW,2016,Basic,754.98,0.0,3464.02,2023-03,2023-03-18,0.0,0,7,0
POL1000033,Quebec,Q7C,16175,Female,39.3,Hatchback,Nissan,2016,Deluxe,1133.12,0.0,3163.68,2023-01,2023-01-15,0.0,0,7,0
POL1000034,British Columbia,D2U,30969,Female,42.7,Coupe,Nissan,2019,Basic,832.45,0.0,7086.69,2022-09,2022-09-10,0.0,0,4,0
POL1000035,British Columbia,Z6T,18326,Male,36.7,Sedan,Nissan,2022,Premium,783.41,0.0,19138.39,2022-07,2022-07-15,0.0,0,1,0
POL1000036,Ontario,M6T,71348,Female,27.5,SUV,Hyundai,2013,Basic,929.49,0.0,4210.25,2022-04,2022-04-06,0.0,0,10,0
POL1000037,Saskatchewan,Q4R,11504,Male,55.9,Truck,Toyota,2016,Premium,988.99,0.0,3154.69,2022-03,2022-03-03,0.0,0,7,0
